Year,Robbery,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,7646,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,8828,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,12571,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,13324,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,12553,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,13328,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,15234,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,11707,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,10849,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,8885,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,9565,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,9240,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,9344,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,8091,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,6760,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,6569,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,5327,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,5100,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,4723,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3850,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2930,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2602,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2676,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2817,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2861,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2482,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1704,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,1913,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,2491,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,2997,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,3407,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,3355,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,4539,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3200,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2902,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,2296,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2479,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2641,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3201,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,3267,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,3098,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,3015,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,3299,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2975,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,2605,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2286,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2442,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2995,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3127,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2992,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3854,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2720,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1982,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,2129,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,2442,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,2534,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,2473,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2354,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2552,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2046,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2067,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1891,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1906,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1927,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1766,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,1805,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,1994,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1761,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1782,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2005,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1786,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1360,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1380,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1615,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1845,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2195,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2621,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2219,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1462,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,1337,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,1220,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1672,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1471,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1668,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1678,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1625,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1319,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1240,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1173,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1189,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1252,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,1221,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,1228,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1140,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1027,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,975,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,778,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,737,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,567,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,543,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,459,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,508,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,603,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,457,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1401,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,1714,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,2128,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,2718,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,2117,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2087,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2068,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1967,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2153,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1801,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1617,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1812,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1848,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,1685,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,1590,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1626,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1771,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,1636,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1439,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1295,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1291,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1301,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1063,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1162,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1335,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1126,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,84,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,107,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,72,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,84,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,88,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,66,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
